Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Solomon Islands,SLB,11100,11481,11352,11532,13107,13711,14365,14365,11094,6680.904,5488.635,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Somalia,SOM,1600,..,3540,3444,..,98,98,995,1060,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,South Africa,ZAF,84000,110392,184763,199600.522813668,209734,212865,216275,234156,248747,88578.633,126160.109,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Spain,ESP,244700,485856,465558.909,486353.8,534895,566775,579842,641097,677578.545,261972.271,381188.363,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Sri Lanka,LKA,7900,5206,32636.4,37517,37598,40711,41012,34425,33050,10045,11210,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Sudan,SDN,9100,7753,9432,6852,6021,3165,5831,3178,3116,2261,15413,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Suriname,SUR,2100,2169,3420,2796,2995,3309,3385,3225,2668,2743,373,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Sweden,SWE,208000,247707,696120,686943,667747,649749,595624,577408,560422.19,168010.186,293982.859,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Switzerland,CHE,152100,289031,266128,263267,250094,229530,216436,219782,225755,81283.2,96369.999,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Syrian Arab Republic,SYR,11200,13959,5424,5424,168,170,165,167.753530166881,173,2659,5705,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Tajikistan,TJK,..,3953,6263,7985,6884,6472,4135,4021,4283,2530,1137.726,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Tanzania,TZA,7500,5973,27625.772,31106.181,35374,27422,47741,90017,91864,42693,54741,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Thailand,THA,69500,101591,298450,338053.981662592,392664,413880,448477,475886.496,483580,224142.333,119077,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Togo,TGO,500,1518,11484,10599.370360014,9947,10725,10485,11559,11931,6191,11293,..
